#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","260520","0","pars peripherica","peripheral nervous system","",""
"N","260536","0","ganglion","ganglion","",""
"N","260548","0","capsula ganglii","capsule of ganglion","",""
"N","260557","0","stroma ganglii","stroma of ganglion","",""
"N","260561","0","ganglion craniospinale sensorium","craniospinal sensory ganglion","",""
"N","260573","0","ganglion sensorium nervi spinalis","spinal ganglion","",""
"N","260585","0","ganglion sensorium nervi cranialis","cranial sensory ganglion","",""
"N","260599","0","ganglion autonomicum","autonomic ganglion","",""
"N","260600","0","neurofibrae preganglionicae","preganglionic nerve fibres","",""
"N","260613","0","neurofibrae postganglionicae","postganglionic nerve fibres","",""
"N","260621","0","ganglion sympathicum","sympathetic ganglion","",""
"N","260637","0","ganglion parasympathicum","parasympathetic ganglion","",""
"N","260645","0","nervus","nerve","",""
"N","260659","0","endoneurium","endoneurium","",""
"N","260668","0","perineurium","perineurium","",""
"N","260676","0","epineurium","epineurium","",""
"N","260684","0","neurofibrae afferentes","afferent nerve fibres","",""
"N","260692","0","neurofibrae efferentes","efferent nerve fibres","",""
"N","260707","0","neurofibrae somaticae","somatic nerve fibres","",""
"N","260710","0","neurofibrae autonomicae","autonomic nerve fibres","",""
"N","260729","0","n. motorius","motor nerve","",""
"N","260732","0","n. sensorius","sensory nerve","",""
"N","260741","0","n. mixtus","mixed nerve","",""
"N","260755","0","r. cutaneus","cutaneous branch","",""
"N","260764","0","r. articularis","articular branch","",""
"N","260778","0","r. muscularis","muscular branch","",""
"N","260786","0","n. spinalis","spinal nerve","",""
"N","260793","0","fila radicularia","rootlets","",""
"N","260801","0","radix anterior","anterior root","",""
"N","260817","0","radix posterior","posterior root","",""
"N","260825","0","truncus nervi spinalis","trunk of spinal nerve","",""
"N","260830","0","r. meningeus","meningeal branch","",""
"N","260849","0","r. communicans","ramus communicans","",""
"N","260858","0","r. anterior","anterior ramus","",""
"N","260863","0","r. posterior","posterior ramus","",""
"N","260874","0","cauda equina","cauda equina","",""
"N","260882","0","plexus nervorum spinalium","spinal nerve plexus","",""
"N","260896","0","n. cranialis","cranial nerve","",""
"N","260906","0","n. autonomicus","autonomic nerve","",""
"N","260911","0","r. autonomicus","autonomic branch","",""
"N","260922","0","plexus autonomicus","autonomic plexus","",""
"N","260933","0","plexus visceralis","visceral plexus","",""
"N","260940","0","plexus vascularis","vascular plexus","",""
"N","260954","0","plexus periarterialis","periarterial plexus","",""
"N","260965","0","nn. vasorum","vascular nerves","",""
"N","260979","0","ganglion viscerale","peripheral autonomic ganglion","",""
"N","260987","0","nervi craniales","cranial nerves","",""
"N","260998","0","nervus terminalis [0]","terminal nerve [0]","",""
"N","261008","0","ganglion terminale","terminal ganglion","",""
