#"Status","Id","Parent","LatinName","UsEnglish","Translation","Synonyms"
"N","263197","0","r. pericardiacus","pericardial branch","",""
"N","263203","0","rr. phrenicoabdominales","phrenico-abdominal branches","",""
"N","263216","0","nn. phrenici accessorii","accessory phrenic nerves","",""
"N","263227","0","plexus brachialis","brachial plexus","",""
"N","263234","0","radices","roots","",""
"N","263242","0","trunci","trunks","",""
"N","263250","0","truncus superior","superior trunk","",""
"N","263269","0","truncus medius","middle trunk","",""
"N","263275","0","truncus inferior","inferior trunk","",""
"N","263288","0","divisiones anteriores","anterior divisions","",""
"N","263291","0","divisiones posteriores","posterior divisions","",""
"N","263300","0","fasciculi","cords","",""
"N","263313","0","pars supraclavicularis","supraclavicular part","",""
"N","263321","0","n. dorsalis scapulae","dorsal scapular nerve","",""
"N","263337","0","n. thoracicus longus","long thoracic nerve","",""
"N","263345","0","n. subclavius","subclavian nerve","",""
"N","263359","0","n. suprascapularis","suprascapular nerve","",""
"N","263368","0","nn. subscapulares","subscapular nerves","",""
"N","263376","0","n. thoracodorsalis","thoracodorsal nerve","",""
"N","263384","0","n. pectoralis medialis","medial pectoral nerve","",""
"N","263392","0","n. pectoralis lateralis","lateral pectoral nerve","",""
"N","263402","0","rr. musculares","muscular branches","",""
"N","263415","0","pars infraclavicularis","infraclavicular part","",""
"N","263428","0","fasciculus lateralis","lateral cord","",""
"N","263431","0","fasciculus medialis","medial cord","",""
"N","263444","0","fasciculus posterior","posterior cord","",""
"N","263453","0","n. musculocutaneus","musculocutaneous nerve","",""
"N","263466","0","rr. musculares","muscular branches","",""
"N","263477","0","n. cutaneus lateralis antebrachii","lateral cutaneous nerve of forearm","",""
"N","263489","0","n. cutaneus medialis brachii","medial cutaneous nerve of arm","",""
"N","263490","0","n. cutaneus medialis antebrachii","medial cutaneous nerve of forearm","",""
"N","263509","0","r. anterior","anterior branch","",""
"N","263514","0","r. posterior","posterior branch","",""
"N","263523","0","n. medianus","median nerve","",""
"N","263538","0","radix medialis nervi mediani","medial root of median nerve","",""
"N","263546","0","radix lateralis nervi mediani","lateral root of median nerve","",""
"N","263551","0","n. interosseus antebrachii anterior","anterior interosseous nerve","",""
"N","263567","0","rr. musculares","muscular branches","",""
"N","263572","0","r. palmaris","palmar branch","",""
"N","263580","0","r. communicans ulnaris","communicating branch with ulnar nerve","",""
"N","263595","0","nn. digitales palmares communes","common palmar digital nerves","",""
"N","263601","0","nn. digitales palmares proprii","proper palmar digital nerves","",""
"N","263617","0","n. ulnaris","ulnar nerve","",""
"N","263625","0","rr. musculares","muscular branches","",""
"N","263630","0","r. dorsalis","dorsal branch","",""
"N","263649","0","nn. digitales dorsales","dorsal digital nerves","",""
"N","263658","0","r. palmaris","palmar branch","",""
"N","263663","0","r. superficialis","superficial branch","",""
"N","263674","0","nn. digitales palmares communes","common palmar digital nerves","",""
"N","263682","0","r. profundus","deep branch","",""
"N","263696","0","n. radialis","radial nerve","",""
"N","263706","0","n. cutaneus brachii posterior","posterior cutaneous nerve of arm","",""
"N","263711","0","n. cutaneus lateralis inferior brachii","inferior lateral cutaneous nerve of arm","",""
"N","263722","0","n. cutaneus antebrachii posterior","posterior cutaneous nerve of forearm","",""
"N","263733","0","rr. musculares","muscular branches","",""
"N","263740","0","r. profundus","deep branch","",""
"N","263754","0","n. interosseus antebrachii posterior","posterior interosseous nerve","",""
"N","263765","0","r. superficialis","superficial branch","",""
"N","263779","0","r. communicans ulnaris","communicating branch with ulnar nerve","",""
"N","263787","0","nn. digitales dorsales","dorsal digital branches","",""
"N","263798","0","n. axillaris","axillary nerve","",""
"N","263804","0","rr. musculares","muscular branches","",""
"N","263812","0","n. cutaneus lateralis superior brachii","superior lateral cutaneous nerve of arm","",""
"N","263820","0","nervi thoracici [T1-T12]","thoracic nerves [T1-T12]","",""
"N","263836","0","rami posteriores","posterior rami","",""
"N","263848","0","r. medialis","medial branch","",""
"N","263857","0","r. lateralis","lateral branch","",""
"N","263861","0","r. cutaneus posterior","posterior cutaneous branch","",""
"N","263873","0","nn. intercostales","intercostal nerves","",""
"N","263885","0","rr. musculares","muscular branches","",""
"N","263899","0","r. collateralis","collateral branch","",""
"N","263905","0","r. cutaneus lateralis pectoralis","lateral pectoral cutaneous branch","",""
"N","263918","0","rr. mammarii laterales","lateral mammary branches","",""
"N","263926","0","r. cutaneus lateralis abdominalis","lateral abdominal cutaneous branch","",""
"N","263939","0","nn. intercostobrachiales","intercostobrachial nerves","",""
"N","263947","0","r. cutaneus anterior pectoralis","anterior pectoral cutaneous branch","",""
"N","263952","0","rr. mammarii mediales","medial mammary branches","",""
"N","263960","0","r. cutaneus anterior abdominalis","anterior abdominal cutaneous branch","",""
"N","263971","0","n. subcostalis","subcostal nerve","",""
"N","263983","0","nervi lumbales [l1-l5]","lumbar nerves [l1-l5]","",""
"N","263994","0","rami posteriores","posterior rami","",""
"N","264000","0","r. medialis","medial branch","",""
"N","264013","0","r. lateralis","lateral branch","",""
"N","264021","0","r. cutaneus posterior","posterior cutaneous branch","",""
"N","264037","0","nn. clunium superiores","superior clunial nerves","",""
"N","264045","0","plexus posterior","posterior plexus","",""
"N","264059","0","rami anteriores","anterior rami","",""
"N","264068","0","nervi sacrococcygei [S1-S5, Co]","sacral nerves and coccygeal nerve [S1-S5, Co]","",""
"N","264076","0","rami posteriores","posterior rami","",""
"N","264084","0","r. medialis","medial branch","",""
"N","264092","0","r. lateralis","lateral branch","",""
"N","264101","0","r. cutaneus posterior","posterior cutaneous branch","",""
"N","264117","0","nn. clunium medii","medial clunial nerves","",""
"N","264125","0","rami anteriores","anterior rami","",""
"N","264130","0","nervi sacrales","sacral nerves","",""
"N","264149","0","plexus lumbosacralis","lumbosacral plexus","",""
"N","264158","0","plexus lumbalis","lumbar plexus","",""
"N","264163","0","n. iliohypogastricus","iliohypogastric nerve","",""
"N","264174","0","r. cutaneus lateralis","lateral cutaneous branch","",""
"N","264182","0","r. cutaneus anterior","anterior cutaneous branch","",""
"N","264196","0","n. ilioinguinalis","ilio-inguinal nerve","",""
"N","264207","0","nn. labiales anteriores","anterior scrotal nerves","",""
"N","264210","0","n. genitofemoralis","genitofemoral nerve","",""
"N","264229","0","r. genitalis","genital branch","",""
"N","264232","0","r. femoralis","femoral branch","",""
"N","264241","0","n. cutaneus femoris lateralis","lateral cutaneous nerve of thigh","",""
"N","264255","0","n. obturatorius","obturator nerve","",""
"N","264264","0","r. anterior","anterior branch","",""
"N","264278","0","r. cutaneus","cutaneous branch","",""
"N","264286","0","rr. musculares","muscular branches","",""
"N","264293","0","r. posterior","posterior branch","",""
"N","264308","0","rr. musculares","muscular branches","",""
"N","264319","0","r. articularis","articular branch","",""
"N","264324","0","n. obturatorius accessorius","accessory obturator nerve","",""
"N","264335","0","n. femoralis","femoral nerve","",""
"N","264343","0","rr. musculares","muscular branches","",""
"N","264356","0","rr. cutanei anteriores","anterior cutaneous branches","",""
"N","264362","0","n. saphenus","saphenous nerve","",""
"N","264370","0","r. infrapatellaris","infrapatellar branch","",""
"N","264381","0","rr. cutanei cruris mediales","medial cutaneous nerve of leg","",""
"N","264397","0","truncus lumbosacralis","lumbosacral trunk","",""
"N","264403","0","plexus sacralis","sacral plexus","",""
"N","264416","0","n. musculi obturatorii interni","nerve to obturator internus","",""
"N","264427","0","n. musculi piriformis","nerve to piriformis","",""
"N","264434","0","n. musculi quadrati femoris","nerve to quadratus femoris","",""
"N","264442","0","n. gluteus superior","superior gluteal nerve","",""
"N","264450","0","n. gluteus inferior","inferior gluteal nerve","",""
"N","264469","0","n. cutaneus femoris posterior","posterior cutaneous nerve of thigh","",""
"N","264475","0","nn. clunium inferiores","inferior clunial nerves","",""
"N","264488","0","rr. perineales","perineal branches","",""
"N","264491","0","n. cutaneus perforans","perforating cutaneous nerve","",""
"N","264502","0","n. pudendus","pudendal nerve","",""
"N","264515","0","nn. anales inferiores","inferior anal nerves","",""
"N","264528","0","nn. perineales","perineal nerves","",""
"N","264531","0","nn. labiales posteriores","posterior scrotal nerves","",""
"N","264544","0","rr. musculares","muscular branches","",""
"N","264553","0","n. dorsalis clitoridis","dorsal nerve of penis","",""
"N","264566","0","n. coccygeus","coccygeal nerve","",""
"N","264577","0","plexus coccygeus","coccygeal plexus","",""
"N","264589","0","n. anococcygeus","anococcygeal nerve","",""
"N","264590","0","n. ischiadicus","sciatic nerve","",""
"N","264609","0","n. fibularis communis","common fibular nerve","",""
"N","264614","0","n. cutaneus lateralis surae","lateral sural cutaneous nerve","",""
"N","264623","0","r. communicans fibularis","sural communicating branch","",""
"N","264638","0","n. fibularis superficialis","superficial fibular nerve","",""
"N","264646","0","rr. musculares","muscular branches","",""
"N","264651","0","n. cutaneus dorsalis medialis","medial dorsal cutaneous nerve","",""
"N","264667","0","n. cutaneus dorsalis intermedius","intermediate dorsal cutaneous nerve","",""
"N","264672","0","nn. digitales dorsales pedis","dorsal digital nerves of foot","",""
"N","264680","0","n. fibularis profundus","deep fibular nerve","",""
"N","264695","0","rr. musculares","muscular branches","",""
"N","264705","0","nn. digitales dorsales pedis","dorsal digital nerves of foot","",""
"N","264718","0","n. tibialis","tibial nerve","",""
"N","264726","0","rr. musculares","muscular branches","",""
"N","264739","0","n. interosseus cruris","interosseous nerve of leg","",""
"N","264747","0","n. cutaneus medialis surae","medial sural cutaneous nerve","",""
"N","264752","0","n. suralis","sural nerve","",""
