#"AnaTermId","ParentId","LatinTerm","EnglishTerm","TA1","TA2","Sex","Type"
"103827","103816","Cartilago articularis","Articular cartilage","","382","B",""
"103834","103774","Pars membranacea ossis","Membranous part of bone","A02.0.00.006","383","B",""
"103842","103834","Periosteum","Periosteum","A02.0.00.007","384","B",""
"103850","103834","Perichondrium","Perichondrium","A02.0.00.008","385","B",""
"103869","103774","Cavitas medullaris ossis","Medullary cavity","A02.0.00.037","386","B",""
"103875","103869","Endosteum","Endosteum","A02.0.00.038","387","B",""
"103888","103869","Medulla ossis","Bone marrow","A13.1.01.001","388","B",""
"103891","103888","Medulla flava ossis","Yellow bone marrow","A02.0.00.039","389","B",""
"103902","103888","Medulla rubra ossis","Red bone marrow","A02.0.00.040","390","B",""
"103915","103774","Diaphysis","Diaphysis","A02.0.00.017","391","B",""
"103928","103774","Metaphysis","Metaphysis","A02.0.00.022","392","B",""
"103931","103774","Epiphysis","Epiphysis","A02.0.00.018","393","B",""
